epoch,train_loss,train_acc,test_loss,test_acc,lr
0,0.9868,0.6748,1.2221,0.5892,0.00100000
1,0.5918,0.7940,0.6123,0.7654,0.00100000
2,0.5017,0.8239,0.8037,0.7291,0.00100000
3,0.4986,0.8271,0.9293,0.6938,0.00100000
4,0.4084,0.8592,0.4319,0.8458,0.00100000
5,0.4023,0.8517,0.5597,0.8084,0.00100000
6,0.3578,0.8752,0.9534,0.7434,0.00100000
7,0.3763,0.8692,0.4078,0.8458,0.00100000
8,0.3094,0.8925,0.5159,0.8249,0.00100000
9,0.3201,0.8847,0.4297,0.8436,0.00100000
10,0.3127,0.8852,0.5286,0.8139,0.00100000
11,0.3191,0.8920,0.5353,0.8095,0.00100000
12,0.2653,0.9065,0.4408,0.8469,0.00100000
13,0.2728,0.9018,0.5824,0.8216,0.00100000
14,0.2911,0.9003,0.4382,0.8535,0.00100000
15,0.2762,0.9030,0.4578,0.8546,0.00100000
16,0.2552,0.9055,0.3808,0.8656,0.00100000
17,0.2750,0.9033,0.4523,0.8568,0.00100000
18,0.2559,0.9118,0.5639,0.7952,0.00100000
19,0.2199,0.9218,0.5342,0.8161,0.00100000
