epoch,train_loss,train_acc,test_loss,test_acc,lr
0,1.5296,0.5227,1.3386,0.5474,0.00100000
1,1.0715,0.6921,1.0231,0.6211,0.00099391
2,0.9352,0.7565,0.7709,0.7357,0.00097577
3,0.8411,0.8013,0.7674,0.7456,0.00094605
4,0.8222,0.8031,1.2755,0.5716,0.00090546
5,0.7545,0.8276,0.5486,0.8128,0.00085502
6,0.7123,0.8434,0.6422,0.7841,0.00079595
7,0.6855,0.8524,0.5592,0.7896,0.00072973
8,0.6763,0.8557,0.5671,0.7974,0.00065796
9,0.6382,0.8755,0.4746,0.8337,0.00058244
10,0.6076,0.8835,0.6839,0.7786,0.00050500
11,0.6071,0.8903,0.4355,0.8337,0.00042756
12,0.5869,0.8893,0.5049,0.8271,0.00035204
13,0.5497,0.9098,0.4307,0.8436,0.00028027
14,0.5523,0.9048,0.4245,0.8491,0.00021405
15,0.5336,0.9121,0.4049,0.8667,0.00015498
16,0.5219,0.9176,0.3729,0.8700,0.00010454
17,0.4969,0.9251,0.3688,0.8744,0.00006395
18,0.4958,0.9291,0.3651,0.8800,0.00003423
19,0.4797,0.9366,0.3583,0.8800,0.00001609
