epoch,train_loss,train_acc,test_loss,test_acc,lr
0,1.9932,0.4386,1.7619,0.4729,0.00100000
1,1.3379,0.5923,1.5356,0.5405,0.00100000
2,1.0842,0.6707,1.2220,0.6455,0.00100000
3,0.9670,0.7064,1.2049,0.6374,0.00100000
4,0.8690,0.7355,1.0789,0.6686,0.00100000
5,0.8033,0.7494,1.0614,0.6868,0.00100000
6,0.7612,0.7646,0.8003,0.7439,0.00100000
7,0.7155,0.7760,0.7637,0.7666,0.00100000
8,0.6942,0.7833,0.9060,0.7188,0.00100000
9,0.6633,0.7924,0.8331,0.7411,0.00100000
10,0.6497,0.7968,0.7910,0.7593,0.00100000
11,0.6099,0.8050,0.8186,0.7399,0.00100000
12,0.5934,0.8123,0.8217,0.7374,0.00100000
13,0.5641,0.8161,0.6933,0.7808,0.00100000
14,0.5724,0.8134,0.8327,0.7512,0.00100000
15,0.5620,0.8212,0.6493,0.7982,0.00100000
16,0.5292,0.8326,0.6433,0.8002,0.00100000
17,0.5293,0.8301,0.7108,0.7844,0.00100000
18,0.5126,0.8316,0.6405,0.8051,0.00100000
19,0.4904,0.8405,0.7580,0.7694,0.00100000
