epoch,train_loss,train_acc,test_loss,test_acc,lr
0,2.7856,0.2747,2.4143,0.2861,0.00100000
1,2.1335,0.4333,2.0693,0.3416,0.00099391
2,1.8099,0.5282,1.7170,0.4749,0.00097577
3,1.6041,0.5999,1.6634,0.5081,0.00094605
4,1.4660,0.6416,1.0783,0.6872,0.00090546
5,1.3944,0.6658,1.1832,0.6491,0.00085502
6,1.2897,0.7046,1.3095,0.6143,0.00079595
7,1.2352,0.7208,1.4114,0.5725,0.00072973
8,1.1954,0.7361,1.0532,0.6592,0.00065796
9,1.1509,0.7480,0.9441,0.7204,0.00058244
10,1.1021,0.7643,0.9421,0.7018,0.00050500
11,1.0648,0.7780,0.7937,0.7622,0.00042756
12,1.0288,0.7892,0.8408,0.7472,0.00035204
13,1.0039,0.7976,0.7350,0.7707,0.00028027
14,0.9666,0.8053,0.7516,0.7650,0.00021405
15,0.9388,0.8186,0.7104,0.7812,0.00015498
16,0.9237,0.8244,0.6690,0.7848,0.00010454
17,0.9001,0.8295,0.6478,0.8031,0.00006395
18,0.8791,0.8400,0.6164,0.8043,0.00003423
19,0.8789,0.8412,0.6175,0.8079,0.00001609
